sk_date,bk_product,idx_value
20050104,000905,986.927
20050105,000905,1003.633
20050106,000905,994.595
20050107,000905,997.606
20050110,000905,1006.337
20050111,000905,1008.343
20050112,000905,1008.62
20050113,000905,1013.07
20050114,000905,1000.169
20050117,000905,977.522
20050118,000905,991.419
20050119,000905,986.241
20050120,000905,972.463
20050121,000905,988.519
20050124,000905,1008.175
20050125,000905,999.553
20050126,000905,987.955
20050127,000905,971.373
20050128,000905,952.413
20050131,000905,922.653
20050201,000905,913.331
20050202,000905,964.243
20050203,000905,945.312
20050204,000905,962.028
20050216,000905,972.337
20050217,000905,977.272
20050218,000905,964.769
20050221,000905,981.819
20050222,000905,1007.688
20050223,000905,1019.258
20050224,000905,1024.446
20050225,000905,1024.118
20050228,000905,1020.847
20050301,000905,1021.162
20050302,000905,1006.148
20050303,000905,1011.288
20050304,000905,1003.21
20050307,000905,1006.953
20050308,000905,1029.457
20050309,000905,1032.55
20050310,000905,1005.545
20050311,000905,1009.434
20050314,000905,1007.766
20050315,000905,993.831
20050316,000905,983.916
20050317,000905,970.966
20050318,000905,949.509
20050321,000905,949.553
20050322,000905,922.564
20050323,000905,923.194
20050324,000905,933.347
20050325,000905,931.417
20050328,000905,922.923
20050329,000905,916.811
20050330,000905,888.949
20050331,000905,896.068
20050401,000905,927.546
20050404,000905,909.87
20050405,000905,901.744
20050406,000905,918.557
20050407,000905,932.333
20050408,000905,949.457
20050411,000905,948.509
20050412,000905,927.41
20050413,000905,950.229
20050414,000905,935.425
20050415,000905,913.271
20050418,000905,901.118
20050419,000905,902.785
20050420,000905,884.083
20050421,000905,867.328
20050422,000905,857.401
20050425,000905,841.058
20050426,000905,855.24
20050427,000905,839.953
20050428,000905,860.616
20050429,000905,847.611
20050509,000905,818.399
20050510,000905,818.088
20050511,000905,811.57
20050512,000905,807.51
20050513,000905,814.878
20050516,000905,808.171
20050517,000905,818.455
20050518,000905,824.643
20050519,000905,824.94
20050520,000905,819.13
20050523,000905,793.724
20050524,000905,808.743
20050525,000905,809.697
20050526,000905,799.024
20050527,000905,790.998
20050530,000905,797.532
20050531,000905,796.872
20050601,000905,778.673
20050602,000905,769.421
20050603,000905,765.967
20050606,000905,778.21
20050607,000905,779.844
20050608,000905,841.36
20050609,000905,849.725
20050610,000905,831.605
20050613,000905,834.252
20050614,000905,818.191
20050615,000905,796.26
20050616,000905,803.945
20050617,000905,800.137
20050620,000905,823.733
20050621,000905,816.197
20050622,000905,818.647
20050623,000905,809.347
20050624,000905,813.203
20050627,000905,834.346
20050628,000905,819.046
20050629,000905,814.064
20050630,000905,791.502
20050701,000905,760.352
20050704,000905,749.483
20050705,000905,744.595
20050706,000905,743.444
20050707,000905,747.418
20050708,000905,722.854
20050711,000905,714.475
20050712,000905,739.534
20050713,000905,732.443
20050714,000905,732.544
20050715,000905,714.488
20050718,000905,696.848
20050719,000905,703.066
20050720,000905,707.293
20050721,000905,704.788
20050722,000905,721.445
20050725,000905,718.867
20050726,000905,735.861
20050727,000905,750.015
20050728,000905,747.23
20050729,000905,744.825
20050801,000905,750.488
20050802,000905,763.29
20050803,000905,769.752
20050804,000905,765.262
20050805,000905,787.819
20050808,000905,800.117
20050809,000905,814.186
20050810,000905,823.839
20050811,000905,832.841
20050812,000905,816.386
