sk_date,bk_product,idx_value
20051010,000300,907.321
20051010,000852,859.077
20051010,000905,858.748
20051010,000906,886.941
20051010,CCFI,875.3249
20051010,h11001,111.29
20051011,000300,919.72
20051011,000852,879.88
20051011,000905,878.623
20051011,000906,901.457
20051011,CCFI,872.8838
20051011,h11001,111.42
20051012,000300,923.485
20051012,000852,889.599
20051012,000905,887.711
20051012,000906,906.77
20051012,CCFI,883.8861
20051012,h11001,111.5
20051013,000300,916.499
20051013,000852,886.077
20051013,000905,883.45
20051013,000906,900.565
20051013,CCFI,878.6206
20051013,h11001,111.7
20051014,000300,904.828
20051014,000852,876.262
20051014,000905,876.053
20051014,000906,890.211
20051014,CCFI,871.3643
20051014,h11001,111.71
20051017,000300,897.623
20051017,000852,879.27
20051017,000905,878.757
20051017,000906,885.935
20051017,CCFI,881.555
20051017,h11001,111.79
20051018,000300,902.366
20051018,000852,897.454
20051018,000905,893.699
20051018,000906,893.652
20051018,CCFI,893.4012
20051018,h11001,111.86
20051019,000300,898.744
20051019,000852,891.35
20051019,000905,886.314
20051019,000906,888.892
20051019,CCFI,885.7736
20051019,h11001,111.9
20051020,000300,899.915
20051020,000852,891.058
20051020,000905,886.551
20051020,000906,889.776
20051020,CCFI,889.9376
20051020,h11001,111.96
20051021,000300,904.414
20051021,000852,897.639
20051021,000905,895.027
20051021,000906,895.323
20051021,CCFI,872.82
20051021,h11001,111.94
20051024,000300,906.652
20051024,000852,897.355
20051024,000905,897.757
20051024,000906,896.791
20051024,CCFI,884.5014
20051024,h11001,111.86
20051025,000300,894.272
20051025,000852,876.636
20051025,000905,877.577
20051025,000906,882.276
20051025,CCFI,875.6329
20051025,h11001,111.92
20051026,000300,875.82
20051026,000852,853.183
20051026,000905,854.028
20051026,000906,861.978
20051026,CCFI,882.0418
20051026,h11001,111.83
20051027,000300,875.849
20051027,000852,837.336
20051027,000905,847.593
20051027,000906,859.891
20051027,CCFI,876.3084
20051027,h11001,111.68
20051028,000300,867.729
20051028,000852,806.557
20051028,000905,825.063
20051028,000906,847.063
20051028,CCFI,873.0958
20051028,h11001,111.48
20051031,000300,876.282
20051031,000852,812.452
20051031,000905,828.659
20051031,000906,853.934
20051031,CCFI,867.03
20051031,h11001,111.36
20051101,000300,872.865
20051101,000852,804.35
20051101,000905,823.328
20051101,000906,849.894
20051101,CCFI,871.9723
20051101,h11001,111.4
20051102,000300,882.478
20051102,000852,826.51
20051102,000905,840.316
20051102,000906,861.558
20051102,CCFI,875.3464
20051102,h11001,111.41
20051103,000300,874.575
20051103,000852,818.951
20051103,000905,828.906
20051103,000906,852.736
20051103,CCFI,874.47
20051103,h11001,111.41
20051104,000300,878.361
20051104,000852,826.766
20051104,000905,835.122
20051104,000906,857.03
20051104,CCFI,873.6517
20051104,h11001,111.33
20051107,000300,877.278
20051107,000852,837.67
20051107,000905,842.002
20051107,000906,857.936
20051107,CCFI,872.7482
20051107,h11001,111.23
20051108,000300,881.524
20051108,000852,846.564
20051108,000905,848.965
20051108,000906,862.82
20051108,CCFI,874.3964
20051108,h11001,111.09
20051109,000300,879.252
20051109,000852,842.774
20051109,000905,845.11
20051109,000906,860.101
20051109,CCFI,872.2402
20051109,h11001,110.82
20051110,000300,862.968
20051110,000852,816.009
20051110,000905,821.269
20051110,000906,841.75
20051110,CCFI,870.8228
20051110,h11001,110.69
20051111,000300,864.79
20051111,000852,822.673
20051111,000905,823.956
20051111,000906,843.845
20051111,CCFI,880.9192
20051111,h11001,110.6
20051114,000300,862.149
20051114,000852,827.478
20051114,000905,827.569
20051114,000906,842.841
20051114,CCFI,886.6694
20051114,h11001,110.74
20051115,000300,856.635
20051115,000852,821.064
20051115,000905,820.491
20051115,000906,837.047
20051115,CCFI,886.97
20051115,h11001,110.76
20051116,000300,863.119
20051116,000852,827.588
20051116,000905,826.692
20051116,000906,843.389
20051116,CCFI,886.7571
20051116,h11001,110.82
20051117,000300,862.658
20051117,000852,828.645
20051117,000905,825.797
20051117,000906,842.833
20051117,CCFI,881.3558
20051117,h11001,110.76
20051118,000300,882.241
20051118,000852,848.778
20051118,000905,843.738
20051118,000906,861.756
20051118,CCFI,878.8893
20051118,h11001,110.65
20051121,000300,883.871
20051121,000852,855.432
20051121,000905,846.958
20051121,000906,863.093
20051121,CCFI,880.2523
20051121,h11001,110.65
20051122,000300,869.617
20051122,000852,833.585
20051122,000905,831.771
20051122,000906,848.68
20051122,CCFI,879.132
20051122,h11001,110.68
20051123,000300,876.229
20051123,000852,841.307
20051123,000905,838.117
20051123,000906,855.113
20051123,CCFI,851.7908
20051123,h11001,110.5
20051124,000300,881.493
20051124,000852,845.476
20051124,000905,841.699
20051124,000906,859.805
20051124,CCFI,859.2578
20051124,h11001,110.51
20051125,000300,884.105
20051125,000852,847.343
20051125,000905,841.13
20051125,000906,861.488
20051125,CCFI,872.7534
20051125,h11001,110.44
20051128,000300,880.167
20051128,000852,846.429
20051128,000905,838.342
20051128,000906,857.934
20051128,CCFI,860.9336
20051128,h11001,110.66
20051129,000300,871.31
20051129,000852,835.306
20051129,000905,827.005
20051129,000906,848.461
20051129,CCFI,864.824
20051129,h11001,110.69
20051130,000300,873.825
20051130,000852,839.24
20051130,000905,829.5
20051130,000906,850.889
20051130,CCFI,883.5779
20051130,h11001,110.68
20051201,000300,873.067
20051201,000852,835.386
20051201,000905,828.193
20051201,000906,850.074
20051201,CCFI,885.7213
20051201,h11001,110.71
20051202,000300,869.936
20051202,000852,821.715
20051202,000905,817.864
20051202,000906,845.025
20051202,CCFI,909.1521
20051202,h11001,110.76
20051205,000300,859.61
20051205,000852,794.322
20051205,000905,796.926
20051205,000906,831.752
20051205,CCFI,911.7593
20051205,h11001,110.87
20051206,000300,866.075
20051206,000852,796.987
20051206,000905,798.878
20051206,000906,836.837
20051206,CCFI,914.3271
20051206,h11001,110.92
20051207,000300,873.838
20051207,000852,805.528
20051207,000905,806.778
20051207,000906,844.587
20051207,CCFI,919.4857
20051207,h11001,111.06
20051208,000300,874.056
20051208,000852,802.541
20051208,000905,805.561
20051208,000906,844.436
20051208,CCFI,929.6484
20051208,h11001,111.14
20051209,000300,887.358
20051209,000852,816.955
20051209,000905,819.2
20051209,000906,857.749
20051209,CCFI,936.273
20051209,h11001,111.12
20051212,000300,888.518
20051212,000852,823.324
20051212,000905,824.518
20051212,000906,860.161
20051212,CCFI,952.5841
20051212,h11001,111.25
20051213,000300,889.101
20051213,000852,822.533
20051213,000905,824.861
20051213,000906,860.789
20051213,CCFI,938.7165
20051213,h11001,111.33
20051214,000300,898.153
20051214,000852,831.797
20051214,000905,832.513
20051214,000906,869.268
20051214,CCFI,954.5929
20051214,h11001,111.32
20051215,000300,896.434
20051215,000852,824.607
20051215,000905,827.539
20051215,000906,866.658
20051215,CCFI,940.2336
20051215,h11001,111.45
20051216,000300,902.561
20051216,000852,831.961
20051216,000905,834.537
20051216,000906,873.07
20051216,CCFI,942.1679
20051216,h11001,111.5
20051219,000300,902.91
20051219,000852,834.02
20051219,000905,834.712
20051219,000906,873.646
20051219,CCFI,950.9096
20051219,h11001,111.59
20051220,000300,907.318
20051220,000852,835.007
20051220,000905,836.119
20051220,000906,877.089
20051220,CCFI,947.9744
20051220,h11001,111.55
20051221,000300,903.144
20051221,000852,823.371
20051221,000905,830.766
20051221,000906,872.776
20051221,CCFI,946.614
20051221,h11001,111.59
20051222,000300,908.754
20051222,000852,826.909
20051222,000905,835.503
20051222,000906,878.098
20051222,CCFI,958.3292
20051222,h11001,111.75
20051223,000300,915.89
20051223,000852,834.717
20051223,000905,845.589
20051223,000906,886.007
20051223,CCFI,968.7671
20051223,h11001,111.75
20051226,000300,922.378
20051226,000852,841.206
20051226,000905,853.169
20051226,000906,892.742
20051226,CCFI,990.4769
20051226,h11001,111.71
20051227,000300,919.36
20051227,000852,841.925
20051227,000905,854.526
20051227,000906,891.156
20051227,CCFI,995.6702
20051227,h11001,111.67
20051228,000300,920.919
20051228,000852,844.074
20051228,000905,857.206
20051228,000906,893.023
20051228,CCFI,996.5498
20051228,h11001,111.68
20051229,000300,932.031
20051229,000852,852.386
20051229,000905,866.747
20051229,000906,906.307
20051229,CCFI,984.2884
20051229,h11001,111.59
20051230,000300,923.451
20051230,000852,842.736
20051230,000905,860.131
20051230,000906,898.783
20051230,CCFI,990.1678
20051230,h11001,111.41
20060104,000300,941.428
20060104,000852,852.531
20060104,000905,871.73
20060104,000906,914.745
20060104,CCFI,1007.5014
20060104,h11001,111.67
20060105,000300,959.134
20060105,000852,865.698
20060105,000905,882.732
20060105,000906,930.415
20060105,CCFI,1013.1432
20060105,h11001,111.82
20060106,000300,970.032
20060106,000852,872.818
20060106,000905,891.94
20060106,000906,940.807
20060106,CCFI,1019.177
20060106,h11001,111.61
20060109,000300,975.253
20060109,000852,886.656
20060109,000905,905.068
20060109,000906,948.262
20060109,CCFI,1022.6717
20060109,h11001,111.96
20060110,000300,978.154
20060110,000852,889.152
20060110,000905,911.191
20060110,000906,952.137
20060110,CCFI,1032.0486
20060110,h11001,112.1
20060111,000300,973.477
20060111,000852,880.909
20060111,000905,906.496
20060111,000906,947.438
20060111,CCFI,1033.0466
20060111,h11001,112.29
20060112,000300,983.716
20060112,000852,899.809
20060112,000905,927.42
20060112,000906,960.509
20060112,CCFI,1032.6258
20060112,h11001,112.43
20060113,000300,978.809
20060113,000852,904.611
20060113,000905,932.499
20060113,000906,958.455
20060113,CCFI,1034.2338
20060113,h11001,112.53
20060116,000300,961.439
20060116,000852,892.798
20060116,000905,920.332
20060116,000906,942.729
20060116,CCFI,1052.4557
20060116,h11001,112.55
20060117,000300,964.29
20060117,000852,891.538
20060117,000905,919.279
20060117,000906,944.495
20060117,CCFI,1051.755
20060117,h11001,112.72
20060118,000300,983.622
20060118,000852,908.856
20060118,000905,939.136
20060118,000906,963.809
20060118,CCFI,1028.1106
20060118,h11001,112.82
20060119,000300,991.222
20060119,000852,914.31
20060119,000905,949.913
20060119,000906,972.224
20060119,CCFI,1044.4345
20060119,h11001,112.86
20060120,000300,993.34
20060120,000852,908.661
20060120,000905,952.769
20060120,000906,974.514
20060120,CCFI,1039.4495
20060120,h11001,112.86
20060123,000300,996.162
20060123,000852,909.728
20060123,000905,961.069
20060123,000906,978.843
20060123,CCFI,1044.2876
20060123,h11001,112.72
20060124,000300,999.093
20060124,000852,903.843
20060124,000905,960.353
20060124,000906,980.67
20060124,CCFI,1048.4042
20060124,h11001,112.76
20060125,000300,1009.597
20060125,000852,887.718
20060125,000905,957.787
20060125,000906,987.362
20060125,CCFI,1058.5446
20060125,h11001,112.8
20060206,000300,1033.234
20060206,000852,909.473
20060206,000905,980.91
20060206,000906,1010.725
20060206,CCFI,1131.9114
20060206,h11001,112.92
20060207,000300,1029.937
20060207,000852,915.254
20060207,000905,981.574
20060207,000906,1008.536
20060207,CCFI,1161.6434
20060207,h11001,112.94
20060208,000300,1033.072
20060208,000852,924.705
20060208,000905,982.943
20060208,000906,1011.148
20060208,CCFI,1126.0834
20060208,h11001,112.89
20060209,000300,1019.599
20060209,000852,914.397
20060209,000905,969.577
20060209,000906,997.818
20060209,CCFI,1144.1463
20060209,h11001,113.04
20060210,000300,1032.337
20060210,000852,925.088
20060210,000905,980.801
20060210,000906,1009.941
20060210,CCFI,1135.2704
20060210,h11001,113.11
20060213,000300,1031.614
20060213,000852,926.473
20060213,000905,977.396
20060213,000906,1008.453
20060213,CCFI,1107.8809
20060213,h11001,113.13
20060214,000300,1038.531
20060214,000852,934.089
20060214,000905,986.056
20060214,000906,1015.77
20060214,CCFI,1111.697
20060214,h11001,113.19
20060215,000300,1041.66
20060215,000852,935.766
20060215,000905,986.161
20060215,000906,1018.047
20060215,CCFI,1118.7816
20060215,h11001,113.22
20060216,000300,1020.121
20060216,000852,913.996
20060216,000905,958.59
20060216,000906,995.08
20060216,CCFI,1086.944
20060216,h11001,113.19
20060217,000300,1020.368
20060217,000852,907.709
20060217,000905,949.993
20060217,000906,992.958
20060217,CCFI,1084.9562
20060217,h11001,113.19
20060220,000300,1021.639
20060220,000852,899.591
20060220,000905,943.765
20060220,000906,992.271
20060220,CCFI,1090.2794
20060220,h11001,113.18
20060221,000300,1038.816
20060221,000852,918.339
20060221,000905,960.017
20060221,000906,1009.085
20060221,CCFI,1102.7088
